ts_code,symbol,name
000692.SZ,692,惠天热电
000695.SZ,695,滨海能源
000697.SZ,697,炼石航空
000698.SZ,698,沈阳化工
000700.SZ,700,模塑科技
000701.SZ,701,厦门信达
000702.SZ,702,正虹科技
000703.SZ,703,恒逸石化
000705.SZ,705,浙江震元
000707.SZ,707,双环科技
000709.SZ,709,河钢股份
000710.SZ,710,贝瑞基因
000711.SZ,711,京蓝科技
000712.SZ,712,锦龙股份
000713.SZ,713,丰乐种业
000715.SZ,715,中兴商业
000716.SZ,716,黑芝麻
000717.SZ,717,韶钢松山
000718.SZ,718,苏宁环球
000719.SZ,719,中原传媒
000720.SZ,720,新能泰山
000721.SZ,721,西安饮食
000722.SZ,722,湖南发展
000723.SZ,723,美锦能源
000725.SZ,725,京东方A
000726.SZ,726,鲁泰A
000727.SZ,727,冠捷科技
000728.SZ,728,国元证券
000729.SZ,729,燕京啤酒
000731.SZ,731,四川美丰
000732.SZ,732,泰禾集团
000733.SZ,733,振华科技
000735.SZ,735,罗牛山
000736.SZ,736,中交地产
000737.SZ,737,北方铜业
000738.SZ,738,航发控制
000739.SZ,739,普洛药业
000750.SZ,750,国海证券
000751.SZ,751,锌业股份
000753.SZ,753,漳州发展
000755.SZ,755,山西路桥
000756.SZ,756,新华制药
000757.SZ,757,浩物股份
000758.SZ,758,中色股份
000759.SZ,759,中百集团
000761.SZ,761,本钢板材
000762.SZ,762,西藏矿业
000766.SZ,766,通化金马
000767.SZ,767,晋控电力
000768.SZ,768,中航西飞
000776.SZ,776,广发证券
000777.SZ,777,中核科技
000778.SZ,778,新兴铸管
000779.SZ,779,甘咨询
000782.SZ,782,美达股份
000783.SZ,783,长江证券
000786.SZ,786,北新建材
000788.SZ,788,北大医药
000789.SZ,789,万年青
000790.SZ,790,华神科技
000791.SZ,791,甘肃电投
000792.SZ,792,盐湖股份
000793.SZ,793,华闻集团
000795.SZ,795,英洛华
000796.SZ,796,凯撒旅业
000797.SZ,797,中国武夷
000798.SZ,798,中水渔业
000799.SZ,799,酒鬼酒
000800.SZ,800,一汽解放
000801.SZ,801,四川九洲
000803.SZ,803,北清环能
000807.SZ,807,云铝股份
000809.SZ,809,铁岭新城
000810.SZ,810,创维数字
000811.SZ,811,冰轮环境
000812.SZ,812,陕西金叶
000813.SZ,813,德展健康
000815.SZ,815,美利云
000816.SZ,816,智慧农业
000818.SZ,818,航锦科技
000819.SZ,819,岳阳兴长
000821.SZ,821,京山轻机
000822.SZ,822,山东海化
000823.SZ,823,超声电子
000825.SZ,825,太钢不锈
000826.SZ,826,启迪环境
000828.SZ,828,东莞控股
000829.SZ,829,天音控股
000830.SZ,830,鲁西化工
000831.SZ,831,五矿稀土
000833.SZ,833,粤桂股份
000836.SZ,836,富通信息
000837.SZ,837,秦川机床
000838.SZ,838,财信发展
000839.SZ,839,中信国安
000848.SZ,848,承德露露
000850.SZ,850,华茂股份
000851.SZ,851,高鸿股份
000852.SZ,852,石化机械
000856.SZ,856,冀东装备
000858.SZ,858,五粮液
000859.SZ,859,国风新材
000860.SZ,860,顺鑫农业
000861.SZ,861,海印股份
000862.SZ,862,银星能源
000863.SZ,863,三湘印象
000868.SZ,868,安凯客车
000869.SZ,869,张裕A
000875.SZ,875,吉电股份
000876.SZ,876,新希望
000877.SZ,877,天山股份
000878.SZ,878,云南铜业
000880.SZ,880,潍柴重机
000881.SZ,881,中广核技
000882.SZ,882,华联股份
000883.SZ,883,湖北能源
000885.SZ,885,城发环境
000886.SZ,886,海南高速
000887.SZ,887,中鼎股份
000888.SZ,888,峨眉山A
000889.SZ,889,中嘉博创
000890.SZ,890,法尔胜
000892.SZ,892,欢瑞世纪
000893.SZ,893,亚钾国际
000897.SZ,897,津滨发展
000898.SZ,898,鞍钢股份
000899.SZ,899,赣能股份
000900.SZ,900,现代投资
000901.SZ,901,航天科技
000902.SZ,902,新洋丰
000903.SZ,903,云内动力
000905.SZ,905,厦门港务
000906.SZ,906,浙商中拓
000908.SZ,908,景峰医药
000909.SZ,909,数源科技
000910.SZ,910,大亚圣象
000911.SZ,911,南宁糖业
000912.SZ,912,泸天化
000913.SZ,913,钱江摩托
000915.SZ,915,华特达因
000917.SZ,917,电广传媒
000918.SZ,918,嘉凯城
000919.SZ,919,金陵药业
000920.SZ,920,沃顿科技
000921.SZ,921,海信家电
000922.SZ,922,佳电股份
000923.SZ,923,河钢资源
000925.SZ,925,众合科技
000926.SZ,926,福星股份
000927.SZ,927,中国铁物
000928.SZ,928,中钢国际
000929.SZ,929,兰州黄河
000930.SZ,930,中粮科技
000931.SZ,931,中关村
000932.SZ,932,华菱钢铁
000933.SZ,933,神火股份
000935.SZ,935,四川双马
000936.SZ,936,华西股份
000937.SZ,937,冀中能源
000938.SZ,938,紫光股份
000948.SZ,948,南天信息
000949.SZ,949,新乡化纤
000950.SZ,950,重药控股
000951.SZ,951,中国重汽
000952.SZ,952,广济药业
000953.SZ,953,河化股份
000955.SZ,955,欣龙控股
000957.SZ,957,中通客车
000958.SZ,958,东方能源
000959.SZ,959,首钢股份
000960.SZ,960,锡业股份
000961.SZ,961,中南建设
000962.SZ,962,东方钽业
000963.SZ,963,华东医药
000965.SZ,965,天保基建
000966.SZ,966,长源电力
000967.SZ,967,盈峰环境
000968.SZ,968,蓝焰控股
000969.SZ,969,安泰科技
000970.SZ,970,中科三环
000973.SZ,973,佛塑科技
000975.SZ,975,银泰黄金
000976.SZ,976,华铁股份
000977.SZ,977,浪潮信息
000978.SZ,978,桂林旅游
000982.SZ,982,中银绒业
000983.SZ,983,山西焦煤
000985.SZ,985,大庆华科
000988.SZ,988,华工科技
000989.SZ,989,九芝堂
000990.SZ,990,诚志股份
000993.SZ,993,闽东电力
000995.SZ,995,皇台酒业
000997.SZ,997,新大陆
000998.SZ,998,隆平高科
000999.SZ,999,华润三九
001696.SZ,1696,宗申动力
001872.SZ,1872,招商港口
001896.SZ,1896,豫能控股
001914.SZ,1914,招商积余
001965.SZ,1965,招商公路
001979.SZ,1979,招商蛇口
002001.SZ,2001,新和成
002002.SZ,2002,鸿达兴业
002003.SZ,2003,伟星股份
002004.SZ,2004,华邦健康
002006.SZ,2006,精功科技
002007.SZ,2007,华兰生物
002008.SZ,2008,大族激光
002009.SZ,2009,天奇股份
002010.SZ,2010,传化智联
002011.SZ,2011,盾安环境
002012.SZ,2012,凯恩股份
002013.SZ,2013,中航机电
002014.SZ,2014,永新股份
002015.SZ,2015,协鑫能科
002016.SZ,2016,世荣兆业
002017.SZ,2017,东信和平
002019.SZ,2019,亿帆医药
002020.SZ,2020,京新药业
002022.SZ,2022,科华生物
002023.SZ,2023,海特高新
002024.SZ,2024,苏宁易购
002025.SZ,2025,航天电器
002026.SZ,2026,山东威达
002027.SZ,2027,分众传媒
002028.SZ,2028,思源电气
002029.SZ,2029,七匹狼
002030.SZ,2030,达安基因
002031.SZ,2031,巨轮智能
002032.SZ,2032,苏泊尔
002033.SZ,2033,丽江股份
002034.SZ,2034,旺能环境
002035.SZ,2035,华帝股份
002036.SZ,2036,联创电子
002037.SZ,2037,保利联合
002038.SZ,2038,双鹭药业
002039.SZ,2039,黔源电力
002040.SZ,2040,南京港
002041.SZ,2041,登海种业
002042.SZ,2042,华孚时尚
002043.SZ,2043,兔宝宝
002044.SZ,2044,美年健康
002045.SZ,2045,国光电器
002046.SZ,2046,国机精工
002047.SZ,2047,宝鹰股份
002048.SZ,2048,宁波华翔
002049.SZ,2049,紫光国微
002050.SZ,2050,三花智控
002051.SZ,2051,中工国际
002053.SZ,2053,云南能投
002054.SZ,2054,德美化工
002055.SZ,2055,得润电子
002056.SZ,2056,横店东磁
002057.SZ,2057,中钢天源
002059.SZ,2059,云南旅游
002060.SZ,2060,粤水电
002061.SZ,2061,浙江交科
002062.SZ,2062,宏润建设
002063.SZ,2063,远光软件
