"ts_code","symbol","name","area","industry","fullname","market","list_date"
"600704.SH","600704","物产中大","浙江","仓储物流","物产中大集团股份有限公司","主板","19960606"
"600705.SH","600705","中航产融","黑龙江","多元金融","中航工业产融控股股份有限公司","主板","19960516"
"600706.SH","600706","曲江文旅","陕西","旅游服务","西安曲江文化旅游股份有限公司","主板","19960516"
"600707.SH","600707","彩虹股份","陕西","元器件","彩虹显示器件股份有限公司","主板","19960520"
"600708.SH","600708","光明地产","上海","全国地产","光明房地产集团股份有限公司","主板","19960606"
"600710.SH","600710","苏美达","江苏","商贸代理","苏美达股份有限公司","主板","19960701"
"600711.SH","600711","盛屯矿业","福建","小金属","盛屯矿业集团股份有限公司","主板","19960531"
"600712.SH","600712","南宁百货","广西","百货","南宁百货大楼股份有限公司","主板","19960626"
"600713.SH","600713","南京医药","江苏","医药商业","南京医药股份有限公司","主板","19960701"
"600714.SH","600714","金瑞矿业","青海","化工原料","青海金瑞矿业发展股份有限公司","主板","19960606"
"600715.SH","600715","文投控股","辽宁","影视音像","文投控股股份有限公司","主板","19960701"
"600716.SH","600716","凤凰股份","江苏","区域地产","江苏凤凰置业投资股份有限公司","主板","19960702"
"600717.SH","600717","天津港","天津","港口","天津港股份有限公司","主板","19960614"
"600718.SH","600718","东软集团","辽宁","软件服务","东软集团股份有限公司","主板","19960618"
"600719.SH","600719","大连热电","辽宁","供气供热","大连热电股份有限公司","主板","19960716"
"600720.SH","600720","祁连山","甘肃","水泥","甘肃祁连山水泥集团股份有限公司","主板","19960716"
"600721.SH","600721","*ST百花","新疆","生物制药","新疆百花村医药集团股份有限公司","主板","19960626"
"600722.SH","600722","金牛化工","河北","化工原料","河北金牛化工股份有限公司","主板","19960626"
"600724.SH","600724","宁波富达","浙江","水泥","宁波富达股份有限公司","主板","19960716"
"600725.SH","600725","云维股份","云南","焦炭加工","云南云维股份有限公司","主板","19960702"
"600726.SH","600726","华电能源","黑龙江","火力发电","华电能源股份有限公司","主板","19960701"
"600727.SH","600727","鲁北化工","山东","化工原料","山东鲁北化工股份有限公司","主板","19960702"
"600728.SH","600728","佳都科技","广东","软件服务","佳都科技集团股份有限公司","主板","19960716"
"600729.SH","600729","重庆百货","重庆","百货","重庆百货大楼股份有限公司","主板","19960702"
"600730.SH","600730","中国高科","北京","综合类","中国高科集团股份有限公司","主板","19960726"
"600731.SH","600731","湖南海利","湖南","农药化肥","湖南海利化工股份有限公司","主板","19960802"
"600732.SH","600732","爱旭股份","上海","电气设备","上海爱旭新能源股份有限公司","主板","19960816"
"600733.SH","600733","北汽蓝谷","北京","汽车整车","北汽蓝谷新能源科技股份有限公司","主板","19960816"
"600734.SH","600734","*ST实达","福建","IT设备","福建实达集团股份有限公司","主板","19960808"
"600735.SH","600735","新华锦","山东","商贸代理","山东新华锦国际股份有限公司","主板","19960726"
"600736.SH","600736","苏州高新","江苏","园区开发","苏州新区高新技术产业股份有限公司","主板","19960815"
"600737.SH","600737","中粮糖业","新疆","食品","中粮糖业控股股份有限公司","主板","19960731"
